Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Location,Latitude,Longitude,Found,Quality,Source,Overlay,Type,Date,Overlay Transparency
Lauan recording made in 1977 (WF1-WFCD28),audio/WF1-WFCD28-foleyFj12.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/WF1/WFCD28,"Fj (speed 7 1/2) side 1 (15:30) ""S nikau & Tinapati: Conversation S nikau: Narrative"" side 2 (5:54) ""S nikau: short text and Texts, Milner 1 & 2 page 126"". Language as given: Lauan",5,,-18.84,-178.88,,,https://catalog.paradisec.org.au/collections/WF1/items/WFCD86,,speech,1977-01-01,
"Rarotonga, Maori, New Guinea Word Lists (AC1-105)",audio/AC1-105-A2.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/105,"A16594 Rarotonga (Mangaia) - Cook Islands Maori, collected at Magaia, an island south-east of Rarotonga Island.Maori par 1, Par 2:1-9 - Not clear if this is a separate entry (eg. NZ Maori).New Guinea word lists - To be checked aurally. Language as given: Rarotonga, Maori",5,,-20.39,-158.57,,,https://catalog.paradisec.org.au/collections/AC1/items/105,,speech,1900-01-01,
TeꞌAre Moe Kōrero #2 (SN1-MM20130712Museum),audio/SN1-MM20130712Museum-SyncedQT.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SN1/MM20130712Museum,Respeaking and translation of TeꞌAre Moe Kōrero by Tangi Purea. Proverbs. The Story of Ina.,5,,-20.39,-158.57,,,https://catalog.paradisec.org.au/collections/SN1/items/MM20130712Museum,,speech,2013-07-12,
Putai Kairae Tells her story (SN1-PTKairae20131126RA1),audio/SN1-PTKairae20131126RA1-FCPSYViaPT.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SN1/PTKairae20131126RA1,Putai Kairae Tells her life story to SATN. Some traditional stories are also discussed.,5,,-20.39,-158.57,,,https://catalog.paradisec.org.au/collections/SN1/items/PTKairae20131126RA1,,speech,2013-11-25,
Jack Ward's Recordings (1960s) - Hawaiian (Mrs Pukui); Kapingamarangi (Taito amarangi) (AC1-014),audio/AC1-014-A.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/014,"Informants' names in parenthesis. -- Side 1:Hawaiian - Polynesian language of the Hawaiian Islands. -- Kapingamarangi - Polynesian outlier language on the island of this name, in the South Carolines Micronesia. -- Note in box only also identifies Side 2 recordings of Polynesian languages: --Raratonga (Mrs Over) --Hawaiian (Mrs Pukui) --Kapingamarangi (preceded and followed by comments in Capell's short-hand). Language as given: Hawaiian; Kapingamarangi",5,,20.58,-157.53,,,https://catalog.paradisec.org.au/collections/AC1/items/014,,speech,1900-01-01,
Mangareva; Tuamotu; Tahiti (cont.) (AC1-018),audio/AC1-018-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/018,Box note confirms card details. -- Side 1:Mangareva - Eastern Pacific Polynesian language related to the Marquessan languages but located south of the Tuamotu language group. -- Tuamotu - Eastern Pacific Polynesian language (also called Pa'umoto). -- Side 2: Tahiti (cont) - Eastern Pacific Polynesian language spoken in the Society Islands.; (Date given is approximate). Language as given: Mangareva; Tuamotu (Pa'umotu); Tahiti,5,,-16.40,-149.30,,,https://catalog.paradisec.org.au/collections/AC1/items/018,,speech,1960-01-01,
"small tapes, Tahitian (SAW1-014)",audio/SAW1-014-01_B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SAW1/014,Tahitian.,5,,-16.40,-149.30,,,https://catalog.paradisec.org.au/collections/SAW1/items/014,,speech,1971-01-01,
Fijian meke (AS2-010),audio/AS2-010-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AS2/010,"Notes copied by Al Schütz from tape boxes, not always legible. -- 10aFijian meke -- date inferred; (dialect survey data). Language as given: Fijian varieties",5,,-17.70,177.88,,,https://catalog.paradisec.org.au/collections/AS2/items/010,,music,1961-02-23,
Ba-Yasawa-Nabukeru 1960s (AS2-031a),audio/AS2-031a-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AS2/031a,Tape 31a Side I -- Ba-Yasawa-Nabukeru. Raven-Hart word list cont. from 30a. -- Ba-Naviti-Sasa. Church service. Cont. on Side II.86 ,5,,-17.99,177.88,,,https://catalog.paradisec.org.au/collections/AS2/items/031a,,music,1961-01-01,
George Abunio (JS2-F14),audio/JS2-F14-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JS2/F14,"Side A: George Abunio w/ Paula Matili, Hiki To'o Abunio + John Baptiste Albunio
Side B: again 08/12/1982 lots of Kwaio. Language as given: Fijian + Examples of Kwaio",5,,-17.80,177.88,,,https://catalog.paradisec.org.au/collections/JS2/items/F14,,speech,1982-11-05,
Charlie kelo (JS2-F20),audio/JS2-F20-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JS2/F20,"with Darrel. Language as given: Fijian, Wai, P.F. , English",5,,-17.91,177.88,,,https://catalog.paradisec.org.au/collections/JS2/items/F20,,speech,1982-11-29,
Bantu Coastal_Bantu Batanga (RB5-Bantu_Coastal_Batanga),audio/RB5-Bantu_Coastal_Batanga-STE001.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/RB5/Bantu_Coastal_Batanga,"Collectors listed as Roger Blench, Marieke Martin, Dan Duke. Language as given: Batanga",5,,2.28,9.75,,,https://catalog.paradisec.org.au/collections/RB5/items/Bantu_Coastal_Batanga,,speech,2010-02-11,
Bantu Chamba_Daka (RB5-Bantu_Chamba_Daka),audio/RB5-Bantu_Chamba_Daka-STE000.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/RB5/Bantu_Chamba_Daka,Bantu Chamba_Daka. Language as given: Chamba,5,,8.26,11.71,,,https://catalog.paradisec.org.au/collections/RB5/items/Bantu_Chamba_Daka,,speech,2010-01-01,
"Italian Folk Ensemble - Multicultural Music Curriculum, Italy (GAC1-07)",audio/GAC1-07-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/GAC1/07,"Tape labelled ""Multicultural Music - Italy"". Language as given: Italian",5,,43.44,13.44,,,https://catalog.paradisec.org.au/collections/GAC1/items/07,,music,1981-01-01,
Appignano dialect - Quinzi/Falciani/Antolini (LB3-tape1),audio/LB3-tape1-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LB3/tape1,"Dialect elicitation from the Carta dei dialetti italiani questionnaire, taken in Campbelltown (South Australia) from siblings Gino Quinzi, Maria Falciani and Clorinda Antolini, from Appignano del Tronto, province of Ascoli Piceno. Appignano dialect, southern Marchigiano",5,,43.44,13.44,,,https://catalog.paradisec.org.au/collections/LB3/items/tape1,,speech,1980-01-01,
Appignano dialect - Falciani/Antolini (LB3-tape2),audio/LB3-tape2-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LB3/tape2,"Dialect elicitation from the Carta dei dialetti italiani questionnaire, taken in Campbelltown (South Australia) from siblingsMaria Falciani and Clorinda Antolini, from Appignano del Tronto, province of Ascoli Piceno. Language as given: Appignano dialect, southern Marchigiano",5,,43.44,13.44,,,https://catalog.paradisec.org.au/collections/LB3/items/tape2,,speech,1980-01-01,
Castel di Lama dialect - Calvaresi (LB3-tape3),audio/LB3-tape3-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LB3/tape3,"Dialect elicitation from the Carta dei dialetti italiani questionnaire, taken in Campbelltown (South Australia) from Massimo Calvaresi, from Castel di Lama, province of Ascoli Piceno. Language as given: Castel di Lama dialect, southern Marchigiano",5,,43.44,13.44,,,https://catalog.paradisec.org.au/collections/LB3/items/tape3,,speech,1980-01-01,
Songs in Helambu  (AH1-010),audio/AH1-010-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AH1/010,Songs 2 (tɕhimi 86) ; Copied 88 ; [Side A] 1-4 = Tsameli ; 5 = Ram Bahadur March 86 ; 6-9 Dame + Kaami March 86 ; [Side B] 1-4 Dame + Kaami ; 5 tɕeeŋa + Nama + Kantsi ; Nurpa-Kahŋ - March 86 ; 6 Peema + Asa Sarkini (चूलु+बाटा) ; Peema's solo ; 8 Urken no. 2 ; Text on inner cassette cover: [Side A]: 1.सिनाला(दावा-क्य०) ; 2.ओहराङगीमिज्यु(दावा-क्य०) ; 3.सेर्पुसेरकीठिलो(दावा-क्य०) ; 4.स्यारलेमिहज्यीजोम; 5.सेसेलेपुहम्बासे30 ; 6.येशूनामजपौंभाई- 45 ; 7.काहङटेथेम्बु(1) - 50 ; 8.काहङसुमचेलो(22) - 60 ; 9.स्यारकीडेन्न्याङ(३१) - 55 ; [Side B] 1.टाहम्ङयेनगोबु(१७) - 5 ; 2.सेम्बाछेरा(२०) - 10 ; 3.काहङदेथेम्बु(३) - 15 ; 4.रिहज्यीस्योङस्योङ(३) - 20 ; 5.क्हासेकोरायिङगोरले+बाटा- 40 ; 6.काहङदोयाहलासे- 50 ; 7.क्याह-युहलमेहबे- 55 ; 8.फिज्यीछ्येताङ- 60.,5,,27.92,85.63,,,https://catalog.paradisec.org.au/collections/AH1/items/010,,music,2014-01-02,
Texts in Helambu (AH1-011),audio/AH1-011-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AH1/011,Helambu-Sherpa Texts,5,,27.92,85.63,,,https://catalog.paradisec.org.au/collections/AH1/items/011,,speech,2014-01-02,
"Egg curry recipe with Sita Lama, photo discussion and birds with speakers from Toljung and a discussion about 'sem' with Aiti Maya Lama. (LG1-120307)",audio/LG1-120307-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LG1/120307,"LG1-120307-01; Sita: egg curry recipe; Notes in 2012, Book 4 p. 23. Sita explaining how to make the tasty egg curry she often cooks. The recipe is told once, and then repeated with discussion in Nepali, only the initial description is transcribed; 2012-03-07; Duration 00:04:25 |. Language as given: Lamjung Yolmo",5,,27.92,85.63,,,https://catalog.paradisec.org.au/collections/LG1/items/120307,,speech,2012-03-07,
"Earthquake Interview: Accyo Lama, Kasi Lama, Nirmila Lama, Rijan Lama (LG1-160520)",audio/LG1-160520-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LG1/160520,"Earthquake Interview: Accyo Lama, Kasi Lama, Nirmila Lama, Rijan Lama. Accyo Lama, Kasi Lama, Nirmila Lama and Rijan Lama discuss the 2015 earthquakes in Nepal.",5,,27.92,85.63,,,https://catalog.paradisec.org.au/collections/LG1/items/160520,,speech,2016-05-20,
Elicitation: evidentials (SUY1-140125),audio/SUY1-140125-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SUY1/140125,Elicitation: Evidentials and verbs ; Elicitation ; Pasang Maya Lama,5,,27.45,86.17,,,https://catalog.paradisec.org.au/collections/SUY1/items/140125,,speech,2015-01-25,
"Earthquake interview: Ningmar, Starting College: Arati (SUY1-160417)",audio/SUY1-160417-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SUY1/160417,Oral consent recording for Ningmar Tamang.,5,,27.45,86.17,,,https://catalog.paradisec.org.au/collections/SUY1/items/160417,,speech,2016-04-17,
Ilam Yolmo - oral histories and attitudes (SUY1-160507),audio/SUY1-160507-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SUY1/160507,"Discussion with Namsaling group ; Conversation ; Ram Bahadur Yolmo, Pema Lama, Prem Yolmo, Yam Bahadur Yolmo, Ombal Yolmo, Lapsang Yolmo ; location: Tin Khutte ; A discussion Lauren had with Ram Bahadur Yolmo, Pema Lama, Prem Yolmo, Yam Bahadur Yolmo, Ombal Yolmo, Lapsang Yolmo. Starts in Nepali talking about the different subgroups of Yolmo and moves into Ombal Yolmo discussing the nature of Yolmo versus Kagate. Language as given: Yolmo",5,,27.45,86.17,,,https://catalog.paradisec.org.au/collections/SUY1/items/160507,,speech,2016-05-07,
Gecik Tue Mongal (DE1-009),audio/DE1-009-A.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/DE1/009,Gecik Tue Mongal. Language as given: Gayo,5,,4.44,97.35,,,https://catalog.paradisec.org.au/collections/DE1/items/009,,speech,1998-05-04,
MCD's animal stories from Bangka (OS1-002),audio/OS1-002-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/OS1/002,Story 1 (Clever Mousedeer): 0-243 on tape counter (12 min.) --Story 2 (Mousedeer is Eaten): 243-317 on counter (approx. 9 min) --Story 3 (When the Dog Ate the Mousedeer): 318-356 (approx. 3 min.). Language as given: Lom,5,,-1.73,105.90,,,https://catalog.paradisec.org.au/collections/OS1/items/002,,speech,1984-05-29,
Shanghai Ancient Music Ensemble 1 (AM5-001),audio/AM5-001-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AM5/001,"Recording of the Shanghai Ancient Music Ensemble performing concert of reconstructions of Tang Music based on the work of Chen Ying Shi, Allan Marett, Lawrence Picken, Rembrandt Wolpert et al, (cassette 1).",5,,36.13,106.28,,,https://catalog.paradisec.org.au/collections/AM5/items/001,,music,1987-05-15,
Tarawangsa Cibalong (CF1-005),audio/CF1-005-IB.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/CF1/005,Series 5.II / 77. Side B = ~21 mins. Lagu ; Item contains instrumental music.,5,,-6.94,107.11,,,https://catalog.paradisec.org.au/collections/CF1/items/005,,music,1977-01-01,
Pak Nongeng tells about the history of the Salako people (AA1-005),audio/AA1-005-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AA1/005,Pak Nongeng tells about the history of the Salako people. Language as given: Selako,5,,0.52,109.59,,,https://catalog.paradisec.org.au/collections/AA1/items/005,,speech,1987-11-14,
Last part story 'Piang Ambung' (= Rice myth story told by Pauma's father) + ? story by Pak Lowe (AA2-009),audio/AA2-009-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AA2/009,"First part of rice myth story (""Piang Ambung"") is on AA2-004. Language as given: Embaloh",5,,0.98,112.72,,,https://catalog.paradisec.org.au/collections/AA2/items/009,,music,1989-01-20,
Banjar (FM1-20070501),audio/FM1-20070501-02ADAC.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/FM1/20070501,Week Eight. Language as given: Banjar,5,,-2.35,114.12,,,https://catalog.paradisec.org.au/collections/FM1/items/20070501,,speech,2007-05-01,
Lombok (DG1-LOM027307),audio/DG1-LOM027307-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/DG1/LOM027307,"(Style for items 1-6: Gamelan Klenang. Group for items 1-6: Kembang Mas) Title of Item: Gendengs Pempukaan- Tabuh Gong.Title of Item: Gending Dalem.Title of Item: Bebaosan.Title of Item: Asmarandana.Title of Item: Closing Song (no break).Title of Item: Tunings of instruments.SIDE B (Style for items 7-8: Gendang Belik. Title of Item: Tawaka.Title of Item: Rangsaran.
. Language as given: Sasak",5,,-8.59,116.30,,,https://catalog.paradisec.org.au/collections/DG1/items/LOM027307,,music,1973-02-01,
Kimragang folktales (PK1-024),audio/PK1-024-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/PK1/024,"PK1-024-01.wav Mapun Sikulan, folk tale: Raja Tambangon om Raja Ponguda; PK1-024-02.wav Inalus, folk tale: Riyagon; PK1-024-03.wav Pananga, folk tale: Solumpa om Galabi; PK1-024-04.wav Sapaun Adun, origin myth: Tinanggo (rock formation). Language as given: Kimaragang",5,,6.55,117.02,,,https://catalog.paradisec.org.au/collections/PK1/items/024,,speech,1985-06-04,
"Komedya 'Kabibiag ni Floramante',rehearsal at Luna 13-2-93 (LB1-AT9301)",audio/LB1-AT9301-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LB1/AT9301,This is a parallel recording with the video tapes LB1-VT9301 and LB1-VT9302. Relevant field notes on pages 70-72 of Linda Barwick's 1993 field notebook (LB1-93NOT); Item contains instrumental music. Language as given: Ilocano,5,,17.09,120.99,,,https://catalog.paradisec.org.au/collections/LB1/items/AT9301,,speech,1993-02-13,
"Komedya 'Kabibiag ni Floramante' at Vigan (Ilocos Sur) 29-4-95, Burgos group (LB1-AT9501)",audio/LB1-AT9501-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LB1/AT9501,"Komedya ""Kabibiag ni Floramante"". This is the same performance group from Luna Barangay of Burgos (Ilocos Sur) recorded in the 1993 series of this collection. They were performing for a festival at Vigan along with some other groups. Parallel video recording on LB1-VT9503; Item contains instrumental music. Language as given: Ilocano",5,,17.09,120.99,,,https://catalog.paradisec.org.au/collections/LB1/items/AT9501,,music,1995-04-29,
"Tape 2, Sabu (AW2-002)",audio/AW2-002-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AW2/002,Language as given: Sabu,5,,-10.14,121.12,,,https://catalog.paradisec.org.au/collections/AW2/items/002,,speech,,
Sabu (AW2-018),audio/AW2-018-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AW2/018,Language as given: Sabu,5,,-10.14,121.12,,,https://catalog.paradisec.org.au/collections/AW2/items/018,,music,1975-12-31,
"Sentences, Malaweg (LR1-112606)",audio/LR1-112606-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LR1/112606,"Recorded in Santa Ana, Cagayan of speaker from Bural, Rizal, Cagayan.Malaweg is actually a different language than Itawit, but has no separate Ethnologue code. . Language as given: Malaweg",5,,17.73,121.58,,,https://catalog.paradisec.org.au/collections/LR1/items/112606,,speech,2006-11-26,
"Sentences & Stories in Agta, Dupaningan (LR1-070706)",audio/LR1-070706-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LR1/070706,"Sentences & Stories. Language as given: Agta, Dupaninan",5,,17.84,122.19,,,https://catalog.paradisec.org.au/collections/LR1/items/070706,,music,2006-07-07,
"Stories in Agta, Dupaningan (LR1-111506)",audio/LR1-111506-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LR1/111506,"Recorded in Dumasag, Limbus,Santa Ana, Cagayan of speaker from Apulagan, Santa Ana, Cagayan. . Language as given: Agta, Dupaningan",5,,17.84,122.19,,,https://catalog.paradisec.org.au/collections/LR1/items/111506,,speech,2006-11-15,
Seed preservation demonstration (GH3-abz_20160706_seeds_demo),audio/GH3-abz_20160706_seeds_demo-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/GH3/abz_20160706_seeds_demo,Demonstration of the use of bamboo storage containers for seed preservation. With Bernadus Mabilaka and his son.,5,,-8.29,124.59,,,https://catalog.paradisec.org.au/collections/GH3/items/abz_20160706_seeds_demo,,speech,2016-07-06,
Merranunggu 10/08/93 (2) (IG6-005),audio/IG6-005-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/IG6/005,"Speakers: Nancy Dayi
Content: SIDE A: intransitive verbs (get up, tired); transitive verbs (tip it out into something); adjective-type phrases (I'm tired/hungry, he's fat/getting fat); pronouns; possession (with meat and tobacco) | SIDE B: possession (with meat); independent pronouns; kinship terms (mother, sister, father, uncle); kinship terms with possession (my, our (us two); his; your)
Location:
Created: 10/8/93 and 12/8/93
Name on tape: Makmak #2 10/8/93 and 12/8/93 | Side A: MAKMAK #2 (recorded 10/8/93 and 12/8/93) | Side B: MAKMAK #2 (recorded 12/8/93)
Corresponds to field notes:IG6-N01. Language as given:",5,,-13.65,130.12,,,https://catalog.paradisec.org.au/collections/IG6/items/005,,speech,1993-08-10,
Matngele 05/07/91 (2) (IG9-006),audio/IG9-006-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/IG9/006,"Speakers: Edwin Purrel (Researchers: Mark Harvey and Ian Green)
Content:
Location: Woolianna
Created: 05/07/91
Name on tape: Dakayu 5/7/91
Corresponds to field notes: IG9-N03. Language as given:",5,,-13.94,130.60,,,https://catalog.paradisec.org.au/collections/IG9/items/006,,speech,1991-07-05,
Batjamalh 01/11/90 (IG5-003),audio/IG5-003-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/IG5/003,"Speakers: Agnes Lippo (Batjamalh) Theodora Narndu and Majella Chula (Wadeye)
Content: wordlists in Batjamalh and Murrinhpatha
Location: Darwin (Batjamalh) and Wadeye (Murrinhpatha)
Created: 01/11/90, 06/11/90 (Murrinhpatha) 10/11/90 (Batjamalh)
Name on tape: Bajjamal wordlist 10/11/90.SIDE A: (66) MURRINH-PATHA Theodora Narndu WADEYE 1/11/90 || SIDE B: (68) MURRINH-PATHA -Magella Chula | (70) BAJJAMAL Agnes Lippo
Corresponds to field notes: none known. Language as given:",5,,-12.87,130.74,,,https://catalog.paradisec.org.au/collections/IG5/items/003,,speech,1990-11-01,
Session 29 (EAG1-S29),audio/EAG1-S29-wad20120922IMKfs.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/EAG1/S29,"Participants: EAG, IMK; Contents: wordlist with (near) minimal pairs, some verb paradigms, examples of stress in various positions, frog story, free elicitation (some adjectives, questions, negation, possession, etc); Length: 1:22:48, 1:25:46, 0:11:48; Loc: Ibu's house; has .eaf; Notes: wad20120922IMKa.wav was recorded using a head-mounted mic - the quality is good, background noise is minimal, spectrographs are clear. wad20120922IMKb.wav was recorded with the Zoom H2 as usual, with all the attendant noise, though less wind than usual. The H2 was turned on partway through the wordlist, and left on a few minutes longer than the head mic. Final file is the excerpted frog story as recorded by head mic.",5,,-2.32,134.00,,,https://catalog.paradisec.org.au/collections/EAG1/items/S29,,speech,2012-09-22,
